Attribute,Index,Dirty Value,Cleaned Value
HospitalName,21,southeast alabama me$dical center,southeast alabama medical center
HospitalName,25,southeast al%abama m@@edical center,southeast alabama medical center
HospitalName,63,marshall medical ce%nter@@ south,marshall medical center south
HospitalName,120,empty,crenshaw community hospital
HospitalName,159,empty,hartselle medical center
HospitalName,166,hartselle medical cente%#r,hartselle medical center
HospitalName,170,$marshall medical center nor%th,marshall medical center north
HospitalName,178,marshall m$edical center north,marshall medical center north
HospitalName,202,empty,st vincents east
HospitalName,211,st vin%cents east,st vincents east
HospitalName,232,dekalb regional medical cent#er,dekalb regional medical center
HospitalName,242,dekalb regional medi@@cal cen??ter,dekalb regional medical center
HospitalName,249,empty,southwest alabama medical center
HospitalName,250,empty,southwest alabama medical center
HospitalName,259,empty,southwest alabama medical center
HospitalName,262,empty,southwest alabama medical center
HospitalName,284,empty,shelby baptist medical center
HospitalName,285,empty,shelby baptist medical center
HospitalName,292,shelby baptist medical@@ center,shelby baptist medical center
HospitalName,293,empty,shelby baptist medical center
HospitalName,322,empty,stringfellow memorial hospital
HospitalName,329,stringfel??low mem??orial hospital,stringfellow memorial hospital
HospitalName,348,flo$wers hospital,flowers hospital
HospitalName,362,empty,northwest medical center
HospitalName,372,empty,northwest medical center
HospitalName,396,empty,prattville baptist hospital
HospitalName,417,co%osa va@@lley medical center,coosa valley medical center
HospitalName,424,coosa valley me??dical center,coosa valley medical center
HospitalName,443,alaska regional h??ospital,alaska regional hospital
HospitalName,445,empty,alaska regional hospital
HospitalName,468,dale medical cent@@$er,dale medical center
HospitalName,481,empty,dale medical center
HospitalName,483,dale medical cent%er,dale medical center
HospitalName,495,empty,cherokee medical center
HospitalName,501,c@@herokee m#edical center,cherokee medical center
HospitalName,505,che??rokee medical center,cherokee medical center
HospitalName,508,empty,cherokee medical center
HospitalName,521,empty,baptist medical center south
HospitalName,538,baptist med@@ical cen??ter south,baptist medical center south
HospitalName,559,j#ackson hospital & cl??inic inc,jackson hospital & clinic inc
HospitalName,561,jackson hospit@@al & clinic inc,jackson hospital & clinic inc
HospitalName,564,empty,jackson hospital & clinic inc
