Attribute,Index,Clean Value,Dirty Value
src,5,businesstravellogue,empty
src,8,flights,empty
src,9,flightstats,empty
src,27,flightaware,empty
src,31,flightview,@@flightview
src,35,gofox,empty
src,38,myrateplan,myrat??epl$an
src,43,travelocity,t??$ravelocity
src,44,weather,weather????
src,45,world-flight-tracker,world-flight-tracke$r#
src,49,allegiantair,empty
src,63,mco,mco%#
src,64,myrateplan,myrat@@eplan
src,66,orbitz,empty
src,118,myrateplan,empty
src,144,quicktrip,qui#cktr#ip
src,159,flytecomm,fly@@te$comm
src,174,boston,b@@oston
src,175,businesstravellogue,businesstravello??gue
src,185,foxbusiness,empty
src,186,gofox,empty
src,196,weather,weat??her
src,203,businesstravellogue,businesstrav??ellogue
src,209,flightview,fligh#tview
src,216,mytripandmore,empty
src,220,travelocity,tr@@avelo%city
src,224,wunderground,empty
src,226,airtravelcenter,air#travelcente$r
src,245,panynj,pany@@nj
src,284,helloflight,empty
src,287,myrateplan,myr%ateplan
src,295,wunderground,wunderg$round
src,322,airtravelcenter,airtra%velcent#er
src,323,allegiantair,alle#giant%air
src,331,flightview,empty
src,348,wunderground,empty
src,356,flightexplorer,flightex@@plor$er
src,359,flightview,empty
src,360,flylouisville,flyl%ouisv??ille
src,363,gofox,gofox??
src,366,orbitz,orbit#z
src,368,quicktrip,empty
src,371,world-flight-tracker,world-#flight@@-tracker
src,373,aa,a?$?a
src,375,allegiantair,allegia#ntair
src,384,flylouisville,empty
src,387,gofox,empty
src,389,myrateplan,empty
src,392,panynj,$%panynj
src,400,airtravelcenter,empty
src,422,travelocity,empty
src,438,flytecomm,fl@@yt$ecomm
src,444,mytripandmore,m%y%tripandmore
src,446,panynj,empty
src,469,mytripandmore,mytripa#n??dmore
src,471,panynj,empty
src,475,world-flight-tracker,wo%r#ld-flight-tracker
src,479,allegiantair,empty
src,482,flightarrival,flightarri??val
src,483,flightaware,empty
src,484,flightexplorer,flightexp@@lo??rer
src,510,flights,empty
src,511,flightstats,empty
src,513,flylouisville,flylouisvil@@le
src,524,weather,weath??er
src,528,airtravelcenter,empty
src,532,flightarrival,empty
src,534,flights,empty
src,536,flightview,empty
src,537,flylouisville,flyl%ouisville
src,542,ifly,ifl#y
src,543,myrateplan,myrateplan??
src,546,panynj,panyn??j
src,550,wunderground,wundergrou%nd
src,551,aa,empty
src,565,gofox,??gofox%
src,566,helloflight,hel$loflight
src,579,airtravelcenter,airtravelc%enter
src,580,allegiantair,al#legiantair
src,593,ifly,empty
src,600,usatoday,us#atod#ay
src,602,world-flight-tracker,empty
src,604,aa,empty
src,606,allegiantair,$allegi#antair
src,608,businesstravellogue,businesstravellogu%e
src,611,flights,empty
src,625,panynj,empty
src,637,flightaware,fli#ghtaware
src,639,flights,fligh#ts
src,641,flightview,f@@lightview
src,659,aa,a$??a
src,660,airtravelcenter,airtravelcent??er
src,662,boston,bosto#n
src,669,flightview,fli#ghtview
src,671,flylouisville,fl%ylouisv@@ille
src,685,wunderground,empty
src,692,flightaware,fl@@ightawar??e
src,697,flylouisville,fly$louisville$
src,698,flytecomm,fly%te$comm
src,702,ifly,i$fl%y
src,704,mytripandmore,empty
src,715,boston,bo%ston
src,728,ifly,empty
src,734,quicktrip,quick$t??rip
src,738,wunderground,wun#derground??
src,745,flightaware,flig%$htaware
src,747,flights,flig??hts
src,753,foxbusiness,foxbusiness%
src,774,flightstats,flig@@htstats@@
src,779,gofox,g%ofox#
src,781,ifly,empty
src,788,travelocity,empty
src,792,aa,a??a
src,825,flightstats,fl%ightstats#
src,827,flylouisville,empty
src,832,mco,empty
src,841,world-flight-tracker,wo#rld-flight-tra$cker
src,844,airtravelcenter,airtravel@@cente$r
src,850,flightview,fligh$tvie@@w
src,857,myrateplan,myratep@@lan
src,862,quicktrip,empty
src,866,airtravelcenter,airtravelce@@nter
src,869,businesstravellogue,bu$si%nesstravellogue
src,883,ord,empty
src,902,flytecomm,empty
src,905,helloflight,helloflight#
src,907,mytripandmore,my$trip??andmore
src,909,panynj,p%anynj
src,914,world-flight-tracker,empty
src,930,foxbusiness,foxbusine@@ss
src,932,helloflight,helloflight#
src,940,usatoday,usatoda#y
src,943,wunderground,wu$nderground
src,948,businesstravellogue,empty
src,951,flightexplorer,fli@@ghtexplorer
src,955,flylouisville,fl#ylouisvi@@lle
src,965,quicktrip,qui$cktrip
src,978,flights,empty
src,981,flightwise,empty
src,986,helloflight,empty
src,989,ord,empty
src,995,airtravelcenter,airtr#avelcenter
src,1001,flights,empty
src,1013,panynj,empty
src,1014,quicktrip,empty
src,1023,flightaware,@@flightaware
src,1027,flightview,empty
src,1037,phl,empty
src,1043,aa,aa%
src,1049,flightaware,flight??aware
src,1061,mytripandmore,myt@@ripandmore
src,1071,airtravelcenter,airtravelce$n$ter
src,1074,businesstravellogue,empty
src,1075,dfw,empty
src,1078,flights,??flight??s
src,1088,orbitz,??or??bitz
src,1093,weather,empty
src,1096,aa,a%a
src,1099,boston,bos%%ton
src,1102,flights,%flights
src,1120,airtravelcenter,empty
src,1122,boston,empty
src,1124,flightarrival,empty
src,1127,flights,flig@@hts@@
src,1136,ifly,ifly??
