Attribute,Index,Dirty Value,Cleaned Value,Clean Value
sched_dep_time,254,1#0:45 a.m.,12:45 a.m.,10:45 a.m.
sched_dep_time,1458,12:30 a.#m.,12:30 p.m.,12:30 a.m.
sched_dep_time,1753,1$2:57 p.m.,2:57 p.m.,12:57 p.m.
sched_dep_time,1948,1%2:00 a$.m.,4:45 p.m.,12:00 a.m.
sched_dep_time,2277,1??1:$08 p.m.,1:08 p.m.,11:08 p.m.
act_dep_time,328,1@@1:05 a.m.%,1:05 a.m.,11:05 a.m.
act_dep_time,341,1@@1:05 a.m.,1:05 a.m.,11:05 a.m.
act_dep_time,343,1%1:#05 a.m.,1:05 a.m.,11:05 a.m.
act_dep_time,455,1??1:52 a.m.,1:52 a.m.,11:52 a.m.
act_dep_time,488,8:0??4 a%.m.,4:45 p.m.,8:04 a.m.
act_dep_time,866,1%0:@@54 a.m.,12:54 a.m.,10:54 a.m.
act_dep_time,883,1$0:54 a.m.,12:54 a.m.,10:54 a.m.
act_dep_time,1440,1$??0:20 a.m.,12:20 a.m.,10:20 a.m.
act_dep_time,2287,1$1:08 p.m??.,1:08 p.m.,11:08 p.m.
sched_arr_time,411,1@@1#:50 p.m.,1:50 p.m.,11:50 p.m.
sched_arr_time,1312,1@@0:54 a.m.,12:54 a.m.,10:54 a.m.
sched_arr_time,2048,1$1:53 a.m.$,1:53 a.m.,11:53 a.m.
act_arr_time,1124,1??1:12$ a.m.,1:12 a.m.,11:12 a.m.
act_arr_time,1741,#1%2:29 a.m.,2:29 a.m.,12:29 a.m.
